year,country,geo,category_key,category_label,product,prod_code,price_eur_tonne,Humidity(%),Moisture(%),Soil Type,Nitrogen(mg/Kg),Potassium(mg/Kg),Phosphorous(mg/Kg),cost_eur_tonne
2000,Austria,AT,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,2920000,4733.9,55,40,Loamy,35,130,50,3283.35
2000,Austria,AT,vegetables,Vegetables (fresh market/transplant),Asparagus: all qualities - prices per 100 kg,4199910,2993.4,55,40,Loamy,35,130,50,2072.2
2000,Austria,AT,vegetables,Vegetables (fresh market/transplant),Garlic - prices per 100 kg,4199906,2543.5,55,40,Loamy,35,130,50,1760.75
2000,Austria,AT,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,4199901,2434.5,55,40,Loamy,35,130,50,1685.3
2000,Austria,AT,orchards,Orchards/Vineyards (perennial),Strawberries in the open - prices per 100 kg,6193100,1837.9,55,40,Loamy,35,130,50,1231.09
2000,Austria,AT,orchards,Orchards/Vineyards (perennial),Apricots: all varieties - prices per 100 kg,6199100,1755.8,55,40,Loamy,35,130,50,1176.1
2000,Austria,AT,industrial,Specialty industrial crops,Raw tobacco: all varieties - prices per 100 kg,2300000,1074.2,55,40,Loamy,35,130,50,745.05
2000,Austria,AT,orchards,Orchards/Vineyards (perennial),Blackcurrants - prices per 100 kg,6199300,1055,55,40,Loamy,35,130,50,706.68
2000,Austria,AT,vegetables,Vegetables (fresh market/transplant),Capsicum (under glass) - prices per 100 kg,4199904,810.4,55,40,Loamy,35,130,50,561
2000,Austria,AT,vegetables,Vegetables (fresh market/transplant),Spinach - prices per 100 kg,4193000,641,55,40,Loamy,35,130,50,443.74
2000,Austria,AT,vegetables,Vegetables (fresh market/transplant),Green beans: all qualities - prices per 100 kg,4198100,638.1,55,40,Loamy,35,130,50,441.73
2000,Austria,AT,orchards,Orchards/Vineyards (perennial),Peaches: all varieties - prices per 100 kg,6130000,633,55,40,Loamy,35,130,50,424.01
2000,Austria,AT,vegetables,Vegetables (fresh market/transplant),Tomatoes under glass: all qualities - prices per 100 kg,4122000,589.4,55,40,Loamy,35,130,50,408.02
2000,Austria,AT,vegetables,Vegetables (fresh market/transplant),Leeks in the open - prices per 100 kg,4199903,537.1,55,40,Loamy,35,130,50,371.81
2000,Austria,AT,orchards,Orchards/Vineyards (perennial),Plums: all varieties  - prices per 100 kg,6192000,452,55,40,Loamy,35,130,50,302.77
2000,Austria,AT,vegetables,Vegetables (fresh market/transplant),Lettuce in the open: all qualities - prices per 100 kg,4192100,414.1,55,40,Loamy,35,130,50,286.66
2000,Austria,AT,vegetables,Vegetables (fresh market/transplant),Cucumbers under glass: all qualities - prices per 100 kg,4194200,402.9,55,40,Loamy,35,130,50,278.91
2000,Austria,AT,orchards,Orchards/Vineyards (perennial),Dessert pears: all varieties - prices per 100 kg,6120000,385.9,55,40,Loamy,35,130,50,258.49
2000,Austria,AT,vegetables,Vegetables (fresh market/transplant),Courgettes - prices per 100 kg,4199911,335.7,55,40,Loamy,35,130,50,232.39
2000,Austria,AT,vegetables,Vegetables (fresh market/transplant),Tomatoes in the open: all qualities - prices per 100 kg,4121000,322.7,55,40,Loamy,35,130,50,223.39
2000,Austria,AT,vegetables,Vegetables (fresh market/transplant),Cauliflowers: all qualities - prices per 100 kg,4110000,320.5,55,40,Loamy,35,130,50,221.87
2000,Austria,AT,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,6490000,285.1,55,40,Loamy,35,130,50,197.87
2000,Austria,AT,orchards,Orchards/Vineyards (perennial),Dessert apples: all varieties - prices per 100 kg,6110000,256.5,55,40,Loamy,35,130,50,171.81
2000,Austria,AT,vegetables,Vegetables (fresh market/transplant),Cucumbers in the open: all qualities - prices per 100 kg,4194100,242,55,40,Loamy,35,130,50,167.53
2000,Austria,AT,rowCrops,Row crops,Beetroot - prices per 100 kg,4199905,201.3,55,40,Loamy,35,130,50,133.71
2000,Austria,AT,vegetables,Vegetables (fresh market/transplant),Carrots: all qualities - prices per 100 kg,4195000,181.7,55,40,Loamy,35,130,50,125.78
