year,country,geo,category_key,category_label,product,prod_code,price_eur_tonne
2000,Austria,AT,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,06490000,285.1
2000,Austria,AT,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,4733.9
2000,Austria,AT,orchards,Orchards/Vineyards (perennial),Strawberries in the open - prices per 100 kg,06193100,1837.8999999999999
2000,Austria,AT,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,201.29999999999998
2000,Austria,AT,vegetables,Vegetables (fresh market/transplant),Asparagus: all qualities - prices per 100 kg,04199910,2993.3999999999996
2000,Belgium,BE,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,163.70000000000002
2000,Belgium,BE,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,4418.5
2000,Belgium,BE,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,1495.5
2000,Belgium,BE,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,198.79999999999998
2000,Belgium,BE,vegetables,Vegetables (fresh market/transplant),Green beans: all qualities - prices per 100 kg,04198100,1613.8
2000,Bulgaria,BG,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,06490000,225.0
2000,Bulgaria,BG,industrial,Specialty industrial crops,Raw tobacco: all varieties - prices per 100 kg,02300000,1421.6999999999998
2000,Bulgaria,BG,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,948.1
2000,Bulgaria,BG,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,178.4
2000,Bulgaria,BG,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,908.8
2000,Czechia,CZ,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,06490000,382.5
2000,Czechia,CZ,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,3689.9
2000,Czechia,CZ,orchards,Orchards/Vineyards (perennial),Blackcurrants - prices per 100 kg,06199300,1146.2
2000,Czechia,CZ,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,198.0
2000,Czechia,CZ,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,1274.6
2000,Germany,DE,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,178.6
2000,Germany,DE,orchards,Orchards/Vineyards (perennial),Strawberries in the open - prices per 100 kg,06193100,1494.5
2000,Germany,DE,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,132.5
2000,Germany,DE,vegetables,Vegetables (fresh market/transplant),Asparagus: all qualities - prices per 100 kg,04199910,3249.6
2000,Denmark,DK,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,192.8
2000,Denmark,DK,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,6526.900000000001
2000,Denmark,DK,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,167.7
2000,Denmark,DK,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,3237.3
2000,Estonia,EE,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,196.4
2000,Greece,EL,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,520.1
2000,Greece,EL,industrial,Specialty industrial crops,Raw tobacco: all varieties - prices per 100 kg,02300000,1201.3
2000,Greece,EL,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,1347.0
2000,Greece,EL,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,455.5
2000,Greece,EL,vegetables,Vegetables (fresh market/transplant),Asparagus: all qualities - prices per 100 kg,04199910,1720.6
2000,Spain,ES,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,06490000,470.3
2000,Spain,ES,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,2993.0
2000,Spain,ES,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,3606.1000000000004
2000,Spain,ES,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,340.09999999999997
2000,Spain,ES,vegetables,Vegetables (fresh market/transplant),Asparagus: all qualities - prices per 100 kg,04199910,1394.0
2000,Finland,FI,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,176.29999999999998
